author,summary,subject,titulo,genero,categories,emocion,Combined
"Collins, Wilkie, 1824-1889","""The Woman in White"" by Wilkie Collins is a novel written during the mid-19th century, specifically in the Victorian era. The story unfolds through multiple perspectives, beginning with Walter Hartright, a drawing teacher, and delves into themes of mystery, suspense, and the complexities of human relationships, centering around a mysterious woman in white.  The opening of the novel introduces Walter Hartright, who is on his way to visit his family when he encounters a strange woman dressed in white late at night. This sudden meeting sparks questions not only about her identity but also the circumstances that led her to be alone on a dark road. As Walter attempts to assist her, it is revealed that she has escaped from an asylum, which heightens the intrigue surrounding her character. Following this encounter, Walter is invited to Limmeridge House to teach drawing to two young ladies, setting the stage for a tangled web of relationships and a haunting story of secrets waiting to be unraveled. The combination of gothic elements and the portrayal of societal norms of the time promise a gripping narrative. ",Inheritance and succession -- Fiction England -- Fiction Psychological fiction Love stories Country homes -- Fiction Gothic fiction Nobility -- Fiction Deception -- Fiction Art teachers -- Fiction Psychiatric hospital patients -- Fiction,The Woman in White,romance,{'ORG'},alegría,"Collins, Wilkie, 1824-1889 ""The Woman in White"" by Wilkie Collins is a novel written during the mid-19th century, specifically in the Victorian era. The story unfolds through multiple perspectives, beginning with Walter Hartright, a drawing teacher, and delves into themes of mystery, suspense, and the complexities of human relationships, centering around a mysterious woman in white.  The opening of the novel introduces Walter Hartright, who is on his way to visit his family when he encounters a strange woman dressed in white late at night. This sudden meeting sparks questions not only about her identity but also the circumstances that led her to be alone on a dark road. As Walter attempts to assist her, it is revealed that she has escaped from an asylum, which heightens the intrigue surrounding her character. Following this encounter, Walter is invited to Limmeridge House to teach drawing to two young ladies, setting the stage for a tangled web of relationships and a haunting story of secrets waiting to be unraveled. The combination of gothic elements and the portrayal of societal norms of the time promise a gripping narrative.  Inheritance and succession -- Fiction England -- Fiction Psychological fiction Love stories Country homes -- Fiction Gothic fiction Nobility -- Fiction Deception -- Fiction Art teachers -- Fiction Psychiatric hospital patients -- Fiction"
"Wilson, Harriet E., 1825-1900","""Our Nig; Or, Sketches from the Life of a Free Black"" by Harriet E. Wilson is a semi-autobiographical novel written in the mid-19th century. The narrative follows the life of Frado, a biracial child (referred to as ""Nig"") who faces the harsh realities of being a free black woman in a prejudiced society while recounting the struggles of her mother, Mag Smith. The opening chapters vividly introduce themes of racial discrimination, societal expectations, and personal suffering.  At the start of the novel, we meet Mag Smith, Frado's mother, who grapples with loneliness and the consequences of her past choices. Stricken by grief, Mag struggles to support herself and her child while navigating societal scorn for her status. As the story unfolds, we witness Frado's transition into a life of servitude within a white household, fully aware of her precarious position due to her mixed race. The opening details her relationships with her mother, her neglectful and abusive mistress, Mrs. Bellmont, and the small glimmers of kindness she receives from a few characters amidst a sea of oppression and cruelty. Through Frado's eyes, the reader gains insight into the emotional and physical toll of slavery's legacy, which haunts even those who are not legally bound. ",Autobiographical fiction New England -- Fiction African American women -- Fiction Racism -- Fiction African American women household employees -- Fiction Free African Americans -- Fiction,"Our Nig; Or, Sketches from the Life of a Free Black",ciencia ficción,{'NORP'},enojo,"Wilson, Harriet E., 1825-1900 ""Our Nig; Or, Sketches from the Life of a Free Black"" by Harriet E. Wilson is a semi-autobiographical novel written in the mid-19th century. The narrative follows the life of Frado, a biracial child (referred to as ""Nig"") who faces the harsh realities of being a free black woman in a prejudiced society while recounting the struggles of her mother, Mag Smith. The opening chapters vividly introduce themes of racial discrimination, societal expectations, and personal suffering.  At the start of the novel, we meet Mag Smith, Frado's mother, who grapples with loneliness and the consequences of her past choices. Stricken by grief, Mag struggles to support herself and her child while navigating societal scorn for her status. As the story unfolds, we witness Frado's transition into a life of servitude within a white household, fully aware of her precarious position due to her mixed race. The opening details her relationships with her mother, her neglectful and abusive mistress, Mrs. Bellmont, and the small glimmers of kindness she receives from a few characters amidst a sea of oppression and cruelty. Through Frado's eyes, the reader gains insight into the emotional and physical toll of slavery's legacy, which haunts even those who are not legally bound.  Autobiographical fiction New England -- Fiction African American women -- Fiction Racism -- Fiction African American women household employees -- Fiction Free African Americans -- Fiction"
"Craft, William, -1900","""Running a Thousand Miles for Freedom"" by William Craft and Ellen Craft is a historical account written in the mid-19th century. The narrative details the harrowing escape of a married couple, William and Ellen Craft, from slavery to freedom, underscoring the oppressive conditions faced by enslaved individuals in America. The book reflects on the personal and social injustices of slavery, while illuminating the indomitable spirit and resilience of those seeking liberty.  The opening portion of the work introduces the Crafts' background and their motivations for escaping. They provide a poignant insight into their lives as slaves in Georgia, touching on the horrors of being treated as property and the cruel separation from family. The couple's determination to claim their rights, inspired by the idea that ""all men are created equal,"" leads them to devise a daring plan for escape. This plan highlights Ellen's near-white complexion, which allows her to disguise herself as a gentleman while William poses as her slave. Their journey begins as they secure passes from their owners, setting the stage for a desperate leap toward freedom that will unfold throughout the book. ","Fugitive slaves -- United States -- Biography Craft, William Craft, Ellen Enslaved persons -- Georgia -- Biography Enslaved persons' writings, American",Running a Thousand Miles for Freedom,biografía,"{'NORP', 'GPE', 'ORG'}",tristeza,"Craft, William, -1900 ""Running a Thousand Miles for Freedom"" by William Craft and Ellen Craft is a historical account written in the mid-19th century. The narrative details the harrowing escape of a married couple, William and Ellen Craft, from slavery to freedom, underscoring the oppressive conditions faced by enslaved individuals in America. The book reflects on the personal and social injustices of slavery, while illuminating the indomitable spirit and resilience of those seeking liberty.  The opening portion of the work introduces the Crafts' background and their motivations for escaping. They provide a poignant insight into their lives as slaves in Georgia, touching on the horrors of being treated as property and the cruel separation from family. The couple's determination to claim their rights, inspired by the idea that ""all men are created equal,"" leads them to devise a daring plan for escape. This plan highlights Ellen's near-white complexion, which allows her to disguise herself as a gentleman while William poses as her slave. Their journey begins as they secure passes from their owners, setting the stage for a desperate leap toward freedom that will unfold throughout the book.  Fugitive slaves -- United States -- Biography Craft, William Craft, Ellen Enslaved persons -- Georgia -- Biography Enslaved persons' writings, American"
"Browne, Thomas, Sir, 1605-1682","""Religio Medici, Hydriotaphia, and the Letter to a Friend"" by Sir Thomas Browne is a collection of philosophical and religious essays written in the 17th century. The work is significant for its exploration of spirituality, mortality, and the human condition, reflecting the complexity of Browne's thoughts as a physician and a thinker during a transformative period in history.  The opening portion of the collection delves deep into Browne’s personal reflections on his faith and the philosophical underpinnings of his beliefs. He begins by asserting his Christian identity despite facing doubts from others due to his profession and demeanor. Browne emphasizes the importance of reason and personal interpretation of faith, advocating for an understanding of religion that transcends dogma. He discusses the relevance of charity and openness towards others’ beliefs and the historical context of varying Christian doctrines. Through a mixture of prose, reason, and introspective contemplation, he illustrates a mind grappling with the eternal themes of existence and divinity, setting the stage for the subsequent essays in the collection. ",Essays Christian life Medicine -- History Christian ethics Medical ethics Funeral rites and ceremonies Religion and medicine,"Religio Medici, Hydriotaphia, and the Letter to a Friend",historia,{'NORP'},enojo,"Browne, Thomas, Sir, 1605-1682 ""Religio Medici, Hydriotaphia, and the Letter to a Friend"" by Sir Thomas Browne is a collection of philosophical and religious essays written in the 17th century. The work is significant for its exploration of spirituality, mortality, and the human condition, reflecting the complexity of Browne's thoughts as a physician and a thinker during a transformative period in history.  The opening portion of the collection delves deep into Browne’s personal reflections on his faith and the philosophical underpinnings of his beliefs. He begins by asserting his Christian identity despite facing doubts from others due to his profession and demeanor. Browne emphasizes the importance of reason and personal interpretation of faith, advocating for an understanding of religion that transcends dogma. He discusses the relevance of charity and openness towards others’ beliefs and the historical context of varying Christian doctrines. Through a mixture of prose, reason, and introspective contemplation, he illustrates a mind grappling with the eternal themes of existence and divinity, setting the stage for the subsequent essays in the collection.  Essays Christian life Medicine -- History Christian ethics Medical ethics Funeral rites and ceremonies Religion and medicine"
"Marquis, Don, 1878-1937","""Danny's Own Story"" by Don Marquis is a novel written during the early 20th century. This engaging narrative introduces readers to Danny, a young boy found in a basket on the doorstep of a tumultuous household ruled by the alcoholic blacksmith Hank Walters and his feisty wife Elmira. The book navigates themes of identity, familial conflict, and the struggles of growing up in a dysfunctional environment.  At the start of the novel, we learn about Danny's unique origin story that involves a humorous mix-up regarding his name, as Hank and Elmira quarrel over it. As they adopt Danny into their chaotic household, the story paints a vivid picture of his difficult upbringing filled with Hank's abuse and Elmira's harshness. Danny reflects on his life experiences, revealing insights into the nature of the people around him, including his complex relationship with education and personal growth. The opening sets a tone that is both poignant and humorous, inviting readers to empathize with Danny as he navigates his challenging reality amidst the flawed but memorable characters around him. ",Fiction Satire Humorous stories,Danny's Own Story,ciencia ficción,set(),enojo,"Marquis, Don, 1878-1937 ""Danny's Own Story"" by Don Marquis is a novel written during the early 20th century. This engaging narrative introduces readers to Danny, a young boy found in a basket on the doorstep of a tumultuous household ruled by the alcoholic blacksmith Hank Walters and his feisty wife Elmira. The book navigates themes of identity, familial conflict, and the struggles of growing up in a dysfunctional environment.  At the start of the novel, we learn about Danny's unique origin story that involves a humorous mix-up regarding his name, as Hank and Elmira quarrel over it. As they adopt Danny into their chaotic household, the story paints a vivid picture of his difficult upbringing filled with Hank's abuse and Elmira's harshness. Danny reflects on his life experiences, revealing insights into the nature of the people around him, including his complex relationship with education and personal growth. The opening sets a tone that is both poignant and humorous, inviting readers to empathize with Danny as he navigates his challenging reality amidst the flawed but memorable characters around him.  Fiction Satire Humorous stories"
"Dickens, Charles, 1812-1870","""Master Humphrey's Clock"" by Charles Dickens is a novel written during the mid-19th century. The story is narrated by Master Humphrey, a quirky old man who introduces readers to his quiet life in London while also providing a glimpse into the lives of his friends. The narrative weaves elements of memory, companionship, and the passage of time through the device of a clock, which becomes a significant symbol in the book.  At the start of the novel, Master Humphrey reflects on his solitary life and his fond attachment to his old clock, which he sees as a companion that shares in his joys and sorrows. He recounts his past experiences, revealing how he came to live a reclusive lifestyle, initially marred by the suspicions of his neighbors. Humphrey’s musings reveal a deep-seated nostalgia, as he recalls the people and times that have shaped him. He introduces his circle of friends, including a deaf gentleman, and hints at the stories and adventures that will unravel over the course of the narrative. This opening establishes the book's tone—reflective, poignant, and warm, while inviting readers to share in the intimacy of Master Humphrey’s world. ","Historical fiction England -- Social life and customs -- 19th century -- Fiction Gordon Riots, 1780 -- Fiction Great Britain -- History -- 18th century -- Fiction",Master Humphrey's Clock,historia,"{'DATE', 'GPE', 'ORG'}",enojo,"Dickens, Charles, 1812-1870 ""Master Humphrey's Clock"" by Charles Dickens is a novel written during the mid-19th century. The story is narrated by Master Humphrey, a quirky old man who introduces readers to his quiet life in London while also providing a glimpse into the lives of his friends. The narrative weaves elements of memory, companionship, and the passage of time through the device of a clock, which becomes a significant symbol in the book.  At the start of the novel, Master Humphrey reflects on his solitary life and his fond attachment to his old clock, which he sees as a companion that shares in his joys and sorrows. He recounts his past experiences, revealing how he came to live a reclusive lifestyle, initially marred by the suspicions of his neighbors. Humphrey’s musings reveal a deep-seated nostalgia, as he recalls the people and times that have shaped him. He introduces his circle of friends, including a deaf gentleman, and hints at the stories and adventures that will unravel over the course of the narrative. This opening establishes the book's tone—reflective, poignant, and warm, while inviting readers to share in the intimacy of Master Humphrey’s world.  Historical fiction England -- Social life and customs -- 19th century -- Fiction Gordon Riots, 1780 -- Fiction Great Britain -- History -- 18th century -- Fiction"
"Stevenson, Robert Louis, 1850-1894","""Catriona"" by Robert Louis Stevenson is a historical novel written in the late 19th century. The narrative continues the adventures of David Balfour, a character introduced in Stevenson’s earlier work ""Kidnapped"". This sequel delves into David's life in post-Jacobite Scotland, exploring themes of identity, loyalty, and love, particularly as he becomes involved with a mysterious girl named Catriona Drummond and the political turmoil surrounding the Jacobite cause.  The opening of ""Catriona"" finds David Balfour navigating the streets of Edinburgh after recently coming into a landed estate, but still haunted by his past as a fugitive. He encounters a young woman named Catriona, who is revealed to be the daughter of James More, a man imprisoned due to his Jacobite affiliations. This chance meeting sparks a connection between them, as David's promise to aid her father intertwines their fates. As David grapples with his newfound status and the dangers lurking due to his previous associations, Stevenson sets the stage for a compelling tale of adventure, romance, and the weight of personal and political legacy. ",Scotland -- History -- 18th century -- Fiction Adventure stories,Catriona,historia,"{'DATE', 'GPE'}",enojo,"Stevenson, Robert Louis, 1850-1894 ""Catriona"" by Robert Louis Stevenson is a historical novel written in the late 19th century. The narrative continues the adventures of David Balfour, a character introduced in Stevenson’s earlier work ""Kidnapped"". This sequel delves into David's life in post-Jacobite Scotland, exploring themes of identity, loyalty, and love, particularly as he becomes involved with a mysterious girl named Catriona Drummond and the political turmoil surrounding the Jacobite cause.  The opening of ""Catriona"" finds David Balfour navigating the streets of Edinburgh after recently coming into a landed estate, but still haunted by his past as a fugitive. He encounters a young woman named Catriona, who is revealed to be the daughter of James More, a man imprisoned due to his Jacobite affiliations. This chance meeting sparks a connection between them, as David's promise to aid her father intertwines their fates. As David grapples with his newfound status and the dangers lurking due to his previous associations, Stevenson sets the stage for a compelling tale of adventure, romance, and the weight of personal and political legacy.  Scotland -- History -- 18th century -- Fiction Adventure stories"
"Japp, Alexander H. (Alexander Hay), 1839-1905","""Robert Louis Stevenson: A Record, an Estimate, and a Memorial"" by Alexander H. Japp is a biographical and critical examination of the life and works of the famous author, written in the late 19th century. The text delves into Stevenson’s influences, struggles, and character, drawing on personal anecdotes and letters, while celebrating his literary contributions and his particular charm.   The beginning of the book introduces the connections between Robert Louis Stevenson and his contemporaries, highlighting his admiration for Thoreau and recounting personal correspondence that illustrates his character and determination. It paints a vivid portrait of Stevenson as a frail yet tenacious figure, whose literary journey was deeply intertwined with his personal experiences and friendships. Japp draws on correspondence with Stevenson to illustrate his intellect, humor, and zest for life despite his physical ailments, offering readers an intimate look at the man behind classic works like ""Treasure Island."" ","Stevenson, Robert Louis, 1850-1894 Authors, Scottish -- 19th century -- Biography","Robert Louis Stevenson: A Record, an Estimate, and a Memorial",biografía,"{'DATE', 'NORP', 'PERSON'}",tristeza,"Japp, Alexander H. (Alexander Hay), 1839-1905 ""Robert Louis Stevenson: A Record, an Estimate, and a Memorial"" by Alexander H. Japp is a biographical and critical examination of the life and works of the famous author, written in the late 19th century. The text delves into Stevenson’s influences, struggles, and character, drawing on personal anecdotes and letters, while celebrating his literary contributions and his particular charm.   The beginning of the book introduces the connections between Robert Louis Stevenson and his contemporaries, highlighting his admiration for Thoreau and recounting personal correspondence that illustrates his character and determination. It paints a vivid portrait of Stevenson as a frail yet tenacious figure, whose literary journey was deeply intertwined with his personal experiences and friendships. Japp draws on correspondence with Stevenson to illustrate his intellect, humor, and zest for life despite his physical ailments, offering readers an intimate look at the man behind classic works like ""Treasure Island.""  Stevenson, Robert Louis, 1850-1894 Authors, Scottish -- 19th century -- Biography"
"Teasdale, Sara, 1884-1933","""Flame and Shadow"" by Sara Teasdale is a collection of poetry written in the early 20th century. The book explores themes of beauty, love, nature, and the complexities of human emotion across a series of lyrical poems. Teasdale's work reflects her deep sensibility to the natural world and the inner landscape of feeling, intertwined with reflections on life and mortality.  In this collection, each poem embodies Teasdale's rich imagery and profound insights, capturing moments of beauty and sorrow. The pieces range from meditations on the fleeting nature of life and love to vibrant depictions of the natural world, including flowers, stars, and seasons. Throughout the poems, there is a sense of longing and introspection, as the speaker grapples with existential questions and personal memories. Teasdale's ability to express complex emotions through simple, expressive language makes ""Flame and Shadow"" resonate deeply, inviting readers to reflect on their own experiences of love, loss, and the beauty of the world around them. ",American poetry Lyric poetry,Flame and Shadow,poesía,{'NORP'},alegría,"Teasdale, Sara, 1884-1933 ""Flame and Shadow"" by Sara Teasdale is a collection of poetry written in the early 20th century. The book explores themes of beauty, love, nature, and the complexities of human emotion across a series of lyrical poems. Teasdale's work reflects her deep sensibility to the natural world and the inner landscape of feeling, intertwined with reflections on life and mortality.  In this collection, each poem embodies Teasdale's rich imagery and profound insights, capturing moments of beauty and sorrow. The pieces range from meditations on the fleeting nature of life and love to vibrant depictions of the natural world, including flowers, stars, and seasons. Throughout the poems, there is a sense of longing and introspection, as the speaker grapples with existential questions and personal memories. Teasdale's ability to express complex emotions through simple, expressive language makes ""Flame and Shadow"" resonate deeply, inviting readers to reflect on their own experiences of love, loss, and the beauty of the world around them.  American poetry Lyric poetry"
"Lindsay, Vachel, 1879-1931","""The Chinese Nightingale and Other Poems"" by Vachel Lindsay is a collection of poems written during the early 20th century. This work captures themes of beauty, nostalgia, and cultural exploration through a lens both personal and imaginative, reflecting on the richness of Chinese folklore alongside contemporary societal issues.  The opening of the collection introduces ""The Chinese Nightingale,"" a poem that begins with a dialogue between two characters, one named Chang, who draws upon his memories of a vibrant past filled with love and beauty, contrasted against the mundane life of a laundryman in San Francisco. The poem evokes a sense of longing for a lost world, filled with mythical imagery and a nightingale that symbolizes beauty and love, as it reminisces about the vibrant culture of old China. Through this rich tapestry of words, Lindsay weaves a narrative that speaks to the universality of love and the impact of time on human experience, providing a glimpse into the emotional depth present in the rest of the collection. ","World War, 1914-1918 -- Poetry American poetry Fairy tales -- Poetry",The Chinese Nightingale and Other Poems,historia,"{'DATE', 'NORP', 'EVENT'}",enojo,"Lindsay, Vachel, 1879-1931 ""The Chinese Nightingale and Other Poems"" by Vachel Lindsay is a collection of poems written during the early 20th century. This work captures themes of beauty, nostalgia, and cultural exploration through a lens both personal and imaginative, reflecting on the richness of Chinese folklore alongside contemporary societal issues.  The opening of the collection introduces ""The Chinese Nightingale,"" a poem that begins with a dialogue between two characters, one named Chang, who draws upon his memories of a vibrant past filled with love and beauty, contrasted against the mundane life of a laundryman in San Francisco. The poem evokes a sense of longing for a lost world, filled with mythical imagery and a nightingale that symbolizes beauty and love, as it reminisces about the vibrant culture of old China. Through this rich tapestry of words, Lindsay weaves a narrative that speaks to the universality of love and the impact of time on human experience, providing a glimpse into the emotional depth present in the rest of the collection.  World War, 1914-1918 -- Poetry American poetry Fairy tales -- Poetry"
"Maupassant, Guy de, 1850-1893","""A Selection from the Writings of Guy De Maupassant, Vol. I"" by Guy de Maupassant is a collection of short stories reflecting the tragic and comedic aspects of life, published during the late 19th century. This volume includes pieces that explore the complexity of human emotions, interpersonal relationships, and societal issues through richly drawn characters and vivid narratives, set against the backdrop of French life during that era.  The beginning of this collection introduces readers to 'Mademoiselle Fifi', a story highlighting the experiences of Prussian soldiers in France during the Franco-Prussian War. It opens in the dilapidated chateau where the officers reside, showcasing their boredom and subsequent plan to entertain themselves by bringing in local women. As the evening progresses, the atmosphere shifts from comedic to tragic when an altercation between one of the soldiers and a young woman leads to violence, culminating in the soldier's death and the woman's escape. This narrative sets the tone for the collection’s exploration of darker themes beneath the seemingly mundane or humorous exterior of everyday life. ","France -- Social life and customs -- Fiction Short stories, French -- Translations into English","A Selection from the Writings of Guy De Maupassant, Vol. I",ciencia ficción,"{'LANGUAGE', 'NORP', 'GPE'}",enojo,"Maupassant, Guy de, 1850-1893 ""A Selection from the Writings of Guy De Maupassant, Vol. I"" by Guy de Maupassant is a collection of short stories reflecting the tragic and comedic aspects of life, published during the late 19th century. This volume includes pieces that explore the complexity of human emotions, interpersonal relationships, and societal issues through richly drawn characters and vivid narratives, set against the backdrop of French life during that era.  The beginning of this collection introduces readers to 'Mademoiselle Fifi', a story highlighting the experiences of Prussian soldiers in France during the Franco-Prussian War. It opens in the dilapidated chateau where the officers reside, showcasing their boredom and subsequent plan to entertain themselves by bringing in local women. As the evening progresses, the atmosphere shifts from comedic to tragic when an altercation between one of the soldiers and a young woman leads to violence, culminating in the soldier's death and the woman's escape. This narrative sets the tone for the collection’s exploration of darker themes beneath the seemingly mundane or humorous exterior of everyday life.  France -- Social life and customs -- Fiction Short stories, French -- Translations into English"
anonymous,"""Twilight Stories"" by Margaret Sidney, Susan Coolidge, Joaquin Miller, and Amy Therese Powelson is a collection of short stories that likely dates from the late 19th century. This compilation encapsulates various narratives that convey morals and reflections on life, love, bravery, and human connection, with a tone that often evokes nostalgia and sentimentality. The stories showcase a range of characters and scenarios, emphasizing themes such as courage, loyalty, and the everyday experiences of people that resonate on a universal level.  At the start of the collection, readers are introduced to a series of poems and prose that reflect on various aspects of life— from childhood innocence to tales of historical heroism and relatable family dynamics. The opening segments include whimsical verses about animals and charming descriptions of festive occasions, setting a tone of simple, heartwarming narrative. One notable story revolves around Martha Moulton, a resolute woman during the American Revolution who chooses to protect her home and treasures amidst the chaos of conflict and soldiers, illustrating themes of patriotism and bravery. Overall, the opening of ""Twilight Stories"" hints at a rich tapestry of heartfelt narratives that invite reflection and imagination, making it engaging for readers who appreciate stories steeped in moral lessons and emotional depth. ",Children's literature Poetry Short stories,Twilight Stories,poesía,set(),alegría,"anonymous ""Twilight Stories"" by Margaret Sidney, Susan Coolidge, Joaquin Miller, and Amy Therese Powelson is a collection of short stories that likely dates from the late 19th century. This compilation encapsulates various narratives that convey morals and reflections on life, love, bravery, and human connection, with a tone that often evokes nostalgia and sentimentality. The stories showcase a range of characters and scenarios, emphasizing themes such as courage, loyalty, and the everyday experiences of people that resonate on a universal level.  At the start of the collection, readers are introduced to a series of poems and prose that reflect on various aspects of life— from childhood innocence to tales of historical heroism and relatable family dynamics. The opening segments include whimsical verses about animals and charming descriptions of festive occasions, setting a tone of simple, heartwarming narrative. One notable story revolves around Martha Moulton, a resolute woman during the American Revolution who chooses to protect her home and treasures amidst the chaos of conflict and soldiers, illustrating themes of patriotism and bravery. Overall, the opening of ""Twilight Stories"" hints at a rich tapestry of heartfelt narratives that invite reflection and imagination, making it engaging for readers who appreciate stories steeped in moral lessons and emotional depth.  Children's literature Poetry Short stories"
"Aldrich, Thomas Bailey, 1836-1907","""The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic"" by Thomas Bailey Aldrich is a collection of poetic works primarily written in the late 19th century. This book exhibits a blend of lyrical and dramatic poetry, showcasing Aldrich's exploration of themes such as love, loss, and the complexities of human emotion. The titular piece, ""The Sisters' Tragedy,"" encapsulates the intricacies of sisterly love and heartache intertwined with their devotion to a shared object of affection.  The central narrative of ""The Sisters' Tragedy"" unfolds in 1670 and revolves around two sisters, Aglae and Muriel, who mourn the death of a man they both loved. As they grieve together, their concealed emotions emerge, revealing unspoken feelings and familial bonds tortured by jealousy and unrequited love. Aglae, who once masked her love for the man, confesses to Muriel that he loved her instead, leading to a poignant realization that their love for him ultimately binds them in sorrow. The collection also features other poems that reflect on historical themes, personal introspection, and societal commentary, further illustrating Aldrich's eloquence and capability as a poet. ",American poetry,"The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic",poesía,{'NORP'},alegría,"Aldrich, Thomas Bailey, 1836-1907 ""The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic"" by Thomas Bailey Aldrich is a collection of poetic works primarily written in the late 19th century. This book exhibits a blend of lyrical and dramatic poetry, showcasing Aldrich's exploration of themes such as love, loss, and the complexities of human emotion. The titular piece, ""The Sisters' Tragedy,"" encapsulates the intricacies of sisterly love and heartache intertwined with their devotion to a shared object of affection.  The central narrative of ""The Sisters' Tragedy"" unfolds in 1670 and revolves around two sisters, Aglae and Muriel, who mourn the death of a man they both loved. As they grieve together, their concealed emotions emerge, revealing unspoken feelings and familial bonds tortured by jealousy and unrequited love. Aglae, who once masked her love for the man, confesses to Muriel that he loved her instead, leading to a poignant realization that their love for him ultimately binds them in sorrow. The collection also features other poems that reflect on historical themes, personal introspection, and societal commentary, further illustrating Aldrich's eloquence and capability as a poet.  American poetry"
"Teasdale, Sara, 1884-1933","""Rivers to the Sea"" by Sara Teasdale is a poetry collection written in the early 20th century. The book comprises a series of lyrical poems reflecting on themes of love, beauty, longing, and the passage of time, often expressing a deep emotional connection to nature and the human experience. Teasdale's work captures the ephemeral moments of life and love, revealing the inner struggles and joys that come with them.  In this evocative collection, Teasdale explores various facets of romance and mortality. The poems depict both the exuberance of new love and the melancholy of heartbreak and loss, illustrated through vivid imagery of nature, seasons, and urban life. From the gentle awakening of spring to the quiet reflections of twilight, Teasdale beautifully intertwines her personal sentiments with universal themes, inviting readers to ponder their own experiences and emotions. Her mastery of language and melodic rhythm create a hauntingly powerful exploration of the human spirit's relentless quest for connection and understanding amidst beauty and sorrow. ",American poetry Love poetry Nature -- Poetry,Rivers to the Sea,romance,"{'NORP', 'WORK_OF_ART'}",alegría,"Teasdale, Sara, 1884-1933 ""Rivers to the Sea"" by Sara Teasdale is a poetry collection written in the early 20th century. The book comprises a series of lyrical poems reflecting on themes of love, beauty, longing, and the passage of time, often expressing a deep emotional connection to nature and the human experience. Teasdale's work captures the ephemeral moments of life and love, revealing the inner struggles and joys that come with them.  In this evocative collection, Teasdale explores various facets of romance and mortality. The poems depict both the exuberance of new love and the melancholy of heartbreak and loss, illustrated through vivid imagery of nature, seasons, and urban life. From the gentle awakening of spring to the quiet reflections of twilight, Teasdale beautifully intertwines her personal sentiments with universal themes, inviting readers to ponder their own experiences and emotions. Her mastery of language and melodic rhythm create a hauntingly powerful exploration of the human spirit's relentless quest for connection and understanding amidst beauty and sorrow.  American poetry Love poetry Nature -- Poetry"
Unknown,"""The Story of Burnt Njal: The Great Icelandic Tribune, Jurist, and Counsellor"" is an epic saga originally written in Icelandic during the 13th century. Following the historical and legendary events of Iceland, the story revolves around the complex relationships and conflicts among prominent figures of the time, including the notable characters Njal and his family, alongside others such as Hauskuld and Hrut. Their tales explore themes of honor, revenge, and the intricacies of law and justice in Viking society.  The opening of the saga introduces several key characters, primarily focusing on a man named Fiddle Mord and his daughter Unna, whose beauty and dowry spark interest from aspiring suitors. We see familial dynamics and tensions play out as Hrut, urged by his brother Hauskuld, seeks to marry Unna. Their engagement sets the stage for future conflicts and relationships, showcasing the societal pressures and legal customs of the time. As the narrative unfolds, we glean insights into the broader societal norms and personal ambitions of the Icelandic clans, hinting at the rich tapestry of alliances and disputes that will ensue throughout the saga. ","Njáll Þorgursson, approximately 930-1011","The Story of Burnt Njal: The Great Icelandic Tribune, Jurist, and Counsellor",interes general,"{'DATE', 'PERSON'}",alegría,"Unknown ""The Story of Burnt Njal: The Great Icelandic Tribune, Jurist, and Counsellor"" is an epic saga originally written in Icelandic during the 13th century. Following the historical and legendary events of Iceland, the story revolves around the complex relationships and conflicts among prominent figures of the time, including the notable characters Njal and his family, alongside others such as Hauskuld and Hrut. Their tales explore themes of honor, revenge, and the intricacies of law and justice in Viking society.  The opening of the saga introduces several key characters, primarily focusing on a man named Fiddle Mord and his daughter Unna, whose beauty and dowry spark interest from aspiring suitors. We see familial dynamics and tensions play out as Hrut, urged by his brother Hauskuld, seeks to marry Unna. Their engagement sets the stage for future conflicts and relationships, showcasing the societal pressures and legal customs of the time. As the narrative unfolds, we glean insights into the broader societal norms and personal ambitions of the Icelandic clans, hinting at the rich tapestry of alliances and disputes that will ensue throughout the saga.  Njáll Þorgursson, approximately 930-1011"
